(2812,2124)
(972,811)
(810,935)
(693,551)
(755,824)
(3844,591)
(3685,739)
(3935,723)
(1817,2285)
(1836,2258)
(2411,2939)
(2364,2821)
(3971,786)
(2340,2421)
(2975,2314)
(896,518)
(3782,856)
(2603,2578)
(3783,517)
(3934,788)
(977,502)
(3837,363)
(447,772)
(656,639)
(3777,952)
(2769,2321)
(2557,2119)
(4131,853)
(771,786)
(771,576)
(3996,566)
(3970,924)
(3977,635)
(2500,1911)
(567,806)
(821,488)
(3615,814)
(703,879)
(4434,992)
(2055,2143)
(2220,2883)
(2493,2189)
(884,730)
(4049,527)
(4117,870)
(2468,2552)
(2625,2678)
(2039,2666)
(2628,2541)
(2624,2509)
(2040,2495)
(4334,997)
(876,489)
(2522,2085)
(2477,2471)
(2401,2016)
(4368,501)
(665,710)
(2159,1921)
(4374,544)
(3787,688)
(4419,588)
(526,835)
(2865,2181)
(2156,1941)
(2987,2418)
(3818,450)
(2115,2431)
(2264,2168)
(2544,1968)
(802,464)
(2149,1923)
(740,841)
(3594,552)
(614,523)
(3708,675)
(699,840)
(928,746)
(2278,2663)
(2386,2631)
(3574,616)
(3882,931)
(2894,2264)
(965,542)
(4217,630)
(2371,2404)
(2444,2443)
(3543,809)
(724,826)
(2948,2268)
(3909,478)
(3664,974)
(802,628)
(3748,904)
(2560,2136)
(560,492)
(3544,889)
(2488,1913)
(2171,2952)
(802,965)
(2387,2213)
(4216,530)
(892,934)
(3821,666)
(2344,1914)
(744,492)
(944,538)
(3789,780)
(3740,845)
(3927,842)
(2284,2191)
(643,548)
(2278,2087)
(2456,2784)
(4050,667)
(4426,765)
(2741,2472)
(2145,2566)
(3743,520)
(2726,2311)
(2291,1934)
(623,493)
(594,759)
(3586,725)
(3981,448)
(2113,2165)
(2835,2707)
(3778,755)
(2129,2621)
(2675,2360)
(2820,2597)
(3596,764)
(3721,439)
(2651,1951)
(3895,567)
(2531,2978)
(2214,2315)
(2579,2850)
(2511,2891)
(4449,953)
(2722,1916)
(4430,922)
(4294,973)
(2970,2237)
(2171,1968)
(712,648)
(914,574)
(4219,575)
(948,746)
(2090,2759)
(570,716)
(3929,632)
(1881,2312)
(3959,752)
(3665,506)
(3794,870)
(2859,2151)
(721,431)
(4471,677)
(2462,1892)
(3729,640)
(2669,2370)
(3740,689)
(4221,353)
(3665,761)
(4153,496)
(529,784)
(2563,2483)
(2639,2458)
(2932,2276)
(630,625)
(4035,878)
(2808,1993)
(2243,1957)
(4083,627)
(4171,333)
(2871,2389)
(914,962)
(703,722)
(3739,807)
(2501,2358)
(3598,625)
(3623,852)
(2667,2095)
(3882,689)
(3792,652)
(1894,2265)
(3571,636)
(554,964)
(3947,830)
(2293,2814)
(634,743)
(2087,2394)
(2636,2556)
(805,755)
(2751,2686)
(3794,608)
(2257,2694)
(2038,2658)
(1874,2401)
(754,674)
(3723,683)
(4114,894)
(2808,2255)
(964,500)
(560,701)
(1853,2417)
(4155,365)
(4423,874)
(2373,2579)
(3541,952)
(2526,2059)
(3799,385)
(657,606)
(3749,876)
(2709,2494)
(4258,499)
(4476,779)
(4273,412)
(3999,438)
(1855,2374)
(2080,1904)
(2530,1925)
(1877,2362)
(2256,2416)
(661,454)
(4210,769)
(2811,2026)
(850,894)
(619,667)
(2343,1864)
(581,989)
(2331,2938)
(641,951)
(2284,2337)
(2415,2126)
(3781,465)
(2288,2425)
(518,921)
(4273,900)
(4175,353)
(2536,2842)
(953,649)
(2274,1815)
(982,889)
(2157,2534)
(2516,1902)
(827,761)
(3729,542)
(4381,963)
(2657,2658)
(4219,878)
(3887,909)
(974,722)
(2282,2235)
(2941,2378)
(2539,2130)
(2426,2053)
(3871,826)
(3696,951)
(644,589)
(4040,834)
(2526,2311)
(618,685)
(4188,471)
(2286,2548)
(829,823)
(4396,965)
(798,635)
(2774,2868)
(2448,2530)
(2308,2626)
(556,572)
(4430,713)
(444,887)
(2407,2798)
(928,580)
(2724,2397)
(2462,1931)
(4104,900)
(493,904)
(3977,574)
(803,839)
(2465,2623)
(837,767)
(1951,2749)
(3876,917)
(4468,960)
(602,681)
(3564,673)
(4146,859)
(1957,2746)
(4086,813)
(4268,805)
(609,460)
(3796,945)
(4302,457)
(1892,2397)
(4223,789)
(460,771)
(953,864)
(4142,371)
(2848,2348)
(4405,803)
(2675,2372)
(695,499)
(3974,539)
(2565,2221)
(2648,2001)
(1938,2606)
(3814,623)
(822,927)
(1970,2123)
(3644,683)
(846,708)
(2627,2918)
(631,509)
(3794,459)
(1973,2563)
(2820,2037)
(1938,2394)
(850,699)
(4367,675)
(2020,2742)
(2458,2921)
(663,601)
(2019,2766)
(3676,512)
(972,719)
(951,935)
(3951,647)
(4056,523)
(2759,2163)
(4148,839)
(732,516)
(3784,612)
(4220,778)
(2623,2130)
(798,615)
(2871,2407)
(2061,2031)
(2106,2572)
(881,419)
(4112,324)
(4173,513)
(4034,989)
(912,865)
(551,695)
(4293,851)
(4040,771)
(2654,2935)
(747,624)
(4488,862)
(4156,740)
(2346,2405)
(1978,2339)
(3689,490)
(4129,523)
(3965,532)
(585,794)
(684,750)
(3750,759)
(2102,1960)
(4093,457)
(453,767)
(3999,792)
(2440,2030)
(2807,2634)
(945,791)
(2212,2057)
(2237,2232)
(2247,2715)
(2617,2555)
(2152,2380)
(3989,503)
(3971,584)
(933,612)
(2662,2706)
(3832,344)
(2615,2141)
(689,844)
(2682,2162)
(722,593)
(3737,456)
(2206,2067)
(860,810)
(675,672)
(679,641)
(2588,2621)
(3726,683)
(2474,2361)
(4408,960)
(2360,2079)
(426,670)
(4192,368)
(2729,2081)
(2609,2681)
(2517,1903)
(849,411)
(4202,382)
(920,491)
(982,555)
(3952,787)
(2517,2219)
(2241,2194)
(4055,835)
(415,839)
(4415,872)
(3949,873)
(2984,2403)
(2756,2877)
(540,736)
(2253,2305)
(2507,1963)
(4238,712)
(749,896)
(2148,2884)
(710,463)
(2187,2441)
(833,513)
(2504,2741)
(2668,2625)
(651,703)
(4062,954)
(3740,945)
(868,670)
(2430,2105)
(610,931)
(538,542)
(4094,887)
(584,788)
(2410,2564)
(2335,2058)
(2462,2120)
(4311,910)
(4270,792)
(2529,2238)
(2539,1840)
(2555,1889)
(762,529)
(668,819)
(838,576)
(4002,803)
(3682,701)
(718,702)
(4113,776)
(991,785)
(3650,634)
(2258,2068)
(4206,484)
(593,605)
(4188,533)
(2731,2105)
(557,894)
(3969,769)
(2797,2216)
(2428,2463)
(789,560)
(2533,2215)
(2555,2203)
(2035,2494)
(2054,2841)
(2675,2091)
(4119,901)
(4367,517)
(2312,2516)
(770,753)
(2268,1996)
(3525,734)
(4092,343)
(556,540)
(4231,719)
(529,706)
(2795,2019)
(779,664)
(2549,1952)
(2632,2177)
(1000,958)
(702,725)
(2797,2418)
(781,799)
(4269,987)
(4259,712)
(2578,2842)
(572,916)
(749,948)
(3698,771)
(4390,643)
(2868,2157)
(3560,945)
(2083,2207)
(931,697)
(2489,2895)
(2496,2872)
(2665,2090)
(806,747)
